Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Season (season),Crop code (crop_code),Crop name (crop_name),Crop category (crop_type),Area (area),Area unit (area_unit),Production (production),Production unit (production_unit),Yield (yield),Yield unit (yield_unit)
" 2012-13","Maharashtra","27","Akola","467","Kharif     ","288","Other Kharif Pulses","Pulses","500.0","Hectare","300.0","Tonnes","0.6","Tonnes/Hectare"
" 2000-01","Chhattisgarh","22","Kanker","382","Rabi       ","205","Masoor","Pulses","57.0","Hectare","13.0","Tonnes","0.23","Tonnes/Hectare"
" 1998-99","Kerala","32","Kannur","557","Whole Year ","506","Cardamom","Spices","128.0","Hectare","4556.0","Tonnes","0.0","Tonnes/Hectare"
" 2017-18","Assam","18","Kokrajhar","294","Kharif     ","1003","Sesamum","Oilseeds","512.0","Hectare","377.0","Tonnes","0.74","Tonnes/Hectare"
" 2002-03","Assam","18","Sonitpur","301","Whole Year ","1302","Tobacco","Drugs And Narcotics","87.0","Hectare","46.0","Tonnes","0.53","Tonnes/Hectare"
" 2019-20","Tamil Nadu","33","Villupuram","596","Kharif     ","203","Urad","Pulses","4567.0","Hectare","3054.0","Tonnes","0.67","Tonnes/Hectare"
" 2003-04","Tamil Nadu","33","Namakkal","580","Kharif     ","1101","Cotton(Lint)","Fiber Crops","2699.0","Hectare","4556.0","Tonnes","1.69","Tonnes/Hectare"
" 2003-04","Rajasthan","8","Dungarpur","99","Kharif     ","288","Other Kharif Pulses","Pulses","232.0","Hectare","182.0","Tonnes","0.78","Tonnes/Hectare"
" 2001-02","Kerala","32","Ernakulam","555","Whole Year ","504","Turmeric","Spices","639.0","Hectare","1456.0","Tonnes","2.28","Tonnes/Hectare"
" 2016-17","Kerala","32","Thrissur","566","Whole Year ","1003","Sesamum","Oilseeds","2.05","Hectare","0.12","Tonnes","0.0","Tonnes/Hectare"
" 2010-11","Odisha","21","Boudh","349","Summer     ","204","Moong(Green Gram)","Pulses","1351.0","Hectare","345.9","Tonnes","0.26","Tonnes/Hectare"
" 2002-03","Telangana","28","Adilabad","501","Kharif     ","288","Other Kharif Pulses","Pulses","1852.0","Hectare","328.0","Tonnes","0.18","Tonnes/Hectare"
" 2013-14","Bihar","10","Purbi Champaran","213","Rabi       ","288","Other  Rabi Pulses","Pulses","43.0","Hectare","43.0","Tonnes","1.0","Tonnes/Hectare"
" 2011-12","Andhra Pradesh","28","West Godavari","523","Kharif     ","204","Moong(Green Gram)","Pulses","106.0","Hectare","62.0","Tonnes","0.58","Tonnes/Hectare"
" 2019-20","Rajasthan","8","Banswara","88","Whole Year ","701","Potato","Vegetable","3.0","Hectare","3.0","Tonnes","1.0","Tonnes/Hectare"
" 2019-20","Uttarakhand","5","Pauri Garhwal","52","Kharif     ","105","Ragi","Cereals","15195.0","Hectare","21016.0","Tonnes","1.38","Tonnes/Hectare"
" 2016-17","Bihar","10","Kishanganj","203","Summer     ","104","Maize","Cereals","1913.0","Hectare","12064.0","Tonnes","6.31","Tonnes/Hectare"
" 2008-09","Madhya Pradesh","23","Bhind","395","Rabi       ","213","Peas & Beans (Pulses)","Pulses","3182.0","Hectare","1668.0","Tonnes","0.52","Tonnes/Hectare"
" 2008-09","Meghalaya","17","West Khasi Hills","279","Kharif     ","503","Ginger","Spices","319.0","Hectare","1942.0","Tonnes","6.09","Tonnes/Hectare"
" 2020-21","Uttarakhand","5","Tehri Garhwal","55","Whole Year ","503","Ginger","Spices","255.0","Hectare","4292.0","Tonnes","16.83","Tonnes/Hectare"
" 2016-17","Uttar Pradesh","9","Shamli","660","Rabi       ","701","Potato","Vegetable","536.0","Hectare","15394.0","Tonnes","28.72","Tonnes/Hectare"
" 1997-98","Bihar","10","Bhojpur","193","Kharif     ","108","Small Millets","Cereals","44.0","Hectare","49.0","Tonnes","1.11","Tonnes/Hectare"
" 2005-06","Assam","18","Nagaon","297","Whole Year ","504","Turmeric","Spices","1302.0","Hectare","834.0","Tonnes","0.64","Tonnes/Hectare"
" 2009-10","Uttar Pradesh","9","Hardoi","150","Kharif     ","202","Arhar/Tur","Pulses","3157.0","Hectare","2299.0","Tonnes","0.73","Tonnes/Hectare"
" 2014-15","Uttar Pradesh","9","Basti","131","Rabi       ","509","Coriander","Spices","52.0","Hectare","25.0","Tonnes","0.48","Tonnes/Hectare"
" 2002-03","West Bengal","19","Bankura","305","Rabi       ","502","Dry Chillies","Spices","777.0","Hectare","736.0","Tonnes","0.95","Tonnes/Hectare"
" 2014-15","Uttar Pradesh","9","Agra","118","Kharif     ","204","Moong(Green Gram)","Pulses","96.0","Hectare","31.0","Tonnes","0.32","Tonnes/Hectare"
" 2004-05","Uttar Pradesh","9","Etah","138","Kharif     ","1001","Groundnut","Oilseeds","592.0","Hectare","487.0","Tonnes","0.82","Tonnes/Hectare"
